machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
mac-m1max	gmp	10_min	74	up_t2	2	-	e3e82d8dfcd9b7c3	1	23.45	23.255802	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0	out_main/rows_Amin_t2.tsv
mac-m1max	gmp	10_min	74	up_t2	2	-	e3e82d8dfcd9b7c3	2	23.22	23.028597	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0	out_main/rows_Amin_t2.tsv
mac-m1max	gmp	10_min	74	up_t2	2	-	e3e82d8dfcd9b7c3	3	24.12	23.930350	61	pdOPT	-4.7926054387208136e-01	10.9	ok	0	out_main/rows_Amin_t2.tsv
mac-m1max	gmp	10_min	74	fork_t2	2	-	e3e82d8dfcd9b7c3	1	17.03	16.806456	61	pdOPT	-4.7926054387208136e-01	11.1	ok	0	out_main/rows_Amin_t2.tsv
mac-m1max	gmp	10_min	74	fork_t2	2	-	e3e82d8dfcd9b7c3	2	17.04	16.818195	61	pdOPT	-4.7926054387208136e-01	11.2	ok	0	out_main/rows_Amin_t2.tsv
mac-m1max	gmp	10_min	74	fork_t2	2	-	e3e82d8dfcd9b7c3	3	16.77	16.547976	61	pdOPT	-4.7926054387208136e-01	11.2	ok	0	out_main/rows_Amin_t2.tsv
mac-m1max	gmp	8_min	19	fork_t4	4	-	e3e82d8dfcd9b7c3	1	0.57	0.557120	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	8_min	19	fork_t4	4	-	e3e82d8dfcd9b7c3	2	0.60	0.582692	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	8_min	19	fork_t4	4	-	e3e82d8dfcd9b7c3	3	0.56	0.544684	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	8_min	19	up_t4	4	-	e3e82d8dfcd9b7c3	1	0.99	0.972261	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	8_min	19	up_t4	4	-	e3e82d8dfcd9b7c3	2	0.98	0.968269	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	8_min	19	up_t4	4	-	e3e82d8dfcd9b7c3	3	0.94	0.923695	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	10_min	74	fork_t4	4	-	e3e82d8dfcd9b7c3	1	11.78	11.553469	61	pdOPT	-4.7926054387208136e-01	11.8	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	10_min	74	fork_t4	4	-	e3e82d8dfcd9b7c3	2	12.50	12.273474	61	pdOPT	-4.7926054387208136e-01	11.7	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	10_min	74	fork_t4	4	-	e3e82d8dfcd9b7c3	3	12.51	12.286323	61	pdOPT	-4.7926054387208136e-01	11.8	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	10_min	74	up_t4	4	-	e3e82d8dfcd9b7c3	1	21.63	21.433778	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	10_min	74	up_t4	4	-	e3e82d8dfcd9b7c3	2	23.25	23.062792	61	pdOPT	-4.7926054387208136e-01	11.1	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	10_min	74	up_t4	4	-	e3e82d8dfcd9b7c3	3	21.19	21.002816	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0	out_main/rows_Amin_t4.tsv
mac-m1max	gmp	8_min	19	up_t8	8	-	e3e82d8dfcd9b7c3	1	1.76	1.744762	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	8_min	19	up_t8	8	-	e3e82d8dfcd9b7c3	2	1.58	1.559050	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	8_min	19	up_t8	8	-	e3e82d8dfcd9b7c3	3	1.50	1.480328	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	8_min	19	fork_t8	8	-	e3e82d8dfcd9b7c3	1	0.57	0.548021	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	8_min	19	fork_t8	8	-	e3e82d8dfcd9b7c3	2	0.57	0.551888	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	8_min	19	fork_t8	8	-	e3e82d8dfcd9b7c3	3	0.56	0.547890	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	10_min	74	up_t8	8	-	e3e82d8dfcd9b7c3	1	24.01	23.817360	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	10_min	74	up_t8	8	-	e3e82d8dfcd9b7c3	2	22.86	22.667178	61	pdOPT	-4.7926054387208136e-01	11.2	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	10_min	74	up_t8	8	-	e3e82d8dfcd9b7c3	3	23.18	22.993595	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	10_min	74	fork_t8	8	-	e3e82d8dfcd9b7c3	1	10.24	10.017063	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	10_min	74	fork_t8	8	-	e3e82d8dfcd9b7c3	2	10.23	10.005780	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	10_min	74	fork_t8	8	-	e3e82d8dfcd9b7c3	3	13.78	13.559381	61	pdOPT	-4.7926054387208136e-01	14.6	ok	0	out_main/rows_Amin_t8.tsv
mac-m1max	gmp	control1	21	fork_t1	1	-	33f968827a10dca7	1	0.18	0.163619	46	pdOPT	1.7784626717523405e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	control1	21	fork_t1	1	-	33f968827a10dca7	2	0.18	0.163238	46	pdOPT	1.7784626717523405e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	control1	21	fork_t1	1	-	33f968827a10dca7	3	0.18	0.162426	46	pdOPT	1.7784626717523405e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	control1	21	up_t1	1	-	33f968827a10dca7	1	0.19	0.175253	46	pdOPT	1.7784626717523405e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	control1	21	up_t1	1	-	33f968827a10dca7	2	0.26	0.242465	46	pdOPT	1.7784626717523405e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	control1	21	up_t1	1	-	33f968827a10dca7	3	0.19	0.175354	46	pdOPT	1.7784626717523405e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	theta1	104	fork_t1	1	-	33f968827a10dca7	1	2.38	2.359429	43	pdOPT	2.3000000000000000e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	theta1	104	fork_t1	1	-	33f968827a10dca7	2	2.38	2.361906	43	pdOPT	2.3000000000000000e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	theta1	104	fork_t1	1	-	33f968827a10dca7	3	2.39	2.371905	43	pdOPT	2.3000000000000000e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	theta1	104	up_t1	1	-	33f968827a10dca7	1	2.96	2.943586	43	pdOPT	2.3000000000000000e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	theta1	104	up_t1	1	-	33f968827a10dca7	2	2.96	2.941921	43	pdOPT	2.3000000000000000e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	theta1	104	up_t1	1	-	33f968827a10dca7	3	2.94	2.924414	43	pdOPT	2.3000000000000000e+01	8.7	ok	0	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	gpp100	101	fork_t1	1	-	33f968827a10dca7	1	30.86	30.819548	61	pFEAS	-4.4943550775891146e+01	13.8	partial	3	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	gpp100	101	fork_t1	1	-	33f968827a10dca7	2	30.73	30.695049	61	pFEAS	-4.4943550775891146e+01	13.8	partial	3	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	gpp100	101	fork_t1	1	-	33f968827a10dca7	3	30.75	30.709666	61	pFEAS	-4.4943550775891146e+01	13.8	partial	3	out_main/rows_Asdplib_t1.tsv
mac-m1max	gmp	gpp100	101	up_t1	1	-	33f968827a10dca7	1	35.35	35.310211	61	pFEAS	-4.4943550775891146e+01	14.3	ok	0	out_main/rows_Asdplib_t1.tsv
