machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
symmetry-xeon6148	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	1	0.76	0.746602	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	2	0.78	0.764143	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	3	0.78	0.763097	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	1	33.01	32.843861	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	2	33.01	32.847557	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	3	33.07	32.907107	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	1	35.48	35.350908	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	2	35.48	35.360675	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	3	35.53	35.397830	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.8	0.780985	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.81	0.782591	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.8	0.782694	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.75	0.731257	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.75	0.730834	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.75	0.731964	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	10.57	10.394039	61	pdOPT	-4.7926054387208136e-01	17.0	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	10.56	10.385775	61	pdOPT	-4.7926054387208136e-01	17.0	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	10.58	10.401642	61	pdOPT	-4.7926054387208136e-01	16.9	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	21.2	21.066903	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	21.23	21.096922	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	21.18	21.048703	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	1	0.73	0.711049	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	2	0.73	0.712437	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	3	0.74	0.714171	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	1	0.74	0.726074	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	2	0.75	0.727254	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	3	0.74	0.725453	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	1	27.57	27.451359	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	2	27.67	27.538644	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	3	27.58	27.450125	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t2	2	0,1	e3e82d8dfcd9b7c3	1	20.87	20.697294	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t2	2	0,1	e3e82d8dfcd9b7c3	2	20.88	20.701651	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0	out_main/rows_Amin_t2.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t2	2	0,1	e3e82d8dfcd9b7c3	3	20.96	20.789569	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0	out_main/rows_Amin_t2.tsv
