machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
pi-i9-13900k	gmp	control1	21	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	1	0.1	0.100104	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
pi-i9-13900k	gmp	control1	21	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	2	0.1	0.100281	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
pi-i9-13900k	gmp	control1	21	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	3	0.1	0.100592	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
pi-i9-13900k	gmp	control1	21	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	1	0.11	0.111472	46	pdOPT	1.7784626717523405e+01	5.1	ok	0
pi-i9-13900k	gmp	control1	21	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	2	0.11	0.111301	46	pdOPT	1.7784626717523405e+01	5.1	ok	0
pi-i9-13900k	gmp	control1	21	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	3	0.1	0.106436	46	pdOPT	1.7784626717523405e+01	5.2	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	1	0.74	0.735506	43	pdOPT	2.3000000000000000e+01	10.9	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	2	0.73	0.732675	43	pdOPT	2.3000000000000000e+01	10.9	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	3	0.73	0.732146	43	pdOPT	2.3000000000000000e+01	10.8	ok	0
pi-i9-13900k	gmp	theta1	104	up_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	33f968827a10dca7	1	1.05	1.051817	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
