machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
pi-i9-13900k	gmp	control1	21	up_t2	2	0,2	33f968827a10dca7	1	0.09	0.095962	46	pdOPT	1.7784626717523405e+01	5.2	ok	0
pi-i9-13900k	gmp	control1	21	up_t2	2	0,2	33f968827a10dca7	2	0.09	0.095701	46	pdOPT	1.7784626717523405e+01	5.1	ok	0
pi-i9-13900k	gmp	control1	21	up_t2	2	0,2	33f968827a10dca7	3	0.09	0.096287	46	pdOPT	1.7784626717523405e+01	5.2	ok	0
pi-i9-13900k	gmp	control1	21	fork_t2	2	0,2	33f968827a10dca7	1	0.1	0.099643	46	pdOPT	1.7784626717523405e+01	5.4	ok	0
pi-i9-13900k	gmp	control1	21	fork_t2	2	0,2	33f968827a10dca7	2	0.1	0.098920	46	pdOPT	1.7784626717523405e+01	5.4	ok	0
pi-i9-13900k	gmp	control1	21	fork_t2	2	0,2	33f968827a10dca7	3	0.1	0.098956	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
pi-i9-13900k	gmp	theta1	104	up_t2	2	0,2	33f968827a10dca7	1	1.27	1.264996	43	pdOPT	2.3000000000000000e+01	8.9	ok	0
pi-i9-13900k	gmp	theta1	104	up_t2	2	0,2	33f968827a10dca7	2	1.27	1.264896	43	pdOPT	2.3000000000000000e+01	8.8	ok	0
pi-i9-13900k	gmp	theta1	104	up_t2	2	0,2	33f968827a10dca7	3	1.27	1.265027	43	pdOPT	2.3000000000000000e+01	9.3	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t2	2	0,2	33f968827a10dca7	1	1	1.003097	43	pdOPT	2.3000000000000000e+01	8.9	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t2	2	0,2	33f968827a10dca7	2	1.01	1.009549	43	pdOPT	2.3000000000000000e+01	8.9	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t2	2	0,2	33f968827a10dca7	3	1	1.002643	43	pdOPT	2.3000000000000000e+01	9.4	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t2	2	0,2	33f968827a10dca7	1	11.5	11.487294	61	pFEAS	-4.4943550775891146e+01	17.6	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t2	2	0,2	33f968827a10dca7	2	11.5	11.484908	61	pFEAS	-4.4943550775891146e+01	17.8	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t2	2	0,2	33f968827a10dca7	3	11.51	11.498568	61	pFEAS	-4.4943550775891146e+01	17.8	ok	0
pi-i9-13900k	gmp	gpp100	101	fork_t2	2	0,2	33f968827a10dca7	1	9.77	9.758798	61	pFEAS	-4.4943550775891146e+01	17.1	partial	3
pi-i9-13900k	gmp	gpp100	101	fork_t2	2	0,2	33f968827a10dca7	2	9.77	9.762778	61	pFEAS	-4.4943550775891146e+01	16.9	partial	3
pi-i9-13900k	gmp	gpp100	101	fork_t2	2	0,2	33f968827a10dca7	3	9.77	9.757582	61	pFEAS	-4.4943550775891146e+01	16.9	partial	3
pi-i9-13900k	gmp	truss5	208	up_t2	2	0,2	33f968827a10dca7	1	5.53	5.525923	48	pdOPT	-1.3263567797250604e+02	13.0	ok	0
pi-i9-13900k	gmp	truss5	208	up_t2	2	0,2	33f968827a10dca7	2	5.54	5.526934	48	pdOPT	-1.3263567797250604e+02	13.3	ok	0
pi-i9-13900k	gmp	truss5	208	up_t2	2	0,2	33f968827a10dca7	3	5.53	5.525352	48	pdOPT	-1.3263567797250604e+02	12.9	ok	0
pi-i9-13900k	gmp	truss5	208	fork_t2	2	0,2	33f968827a10dca7	1	4.26	4.248817	48	pdOPT	-1.3263567797250604e+02	13.1	ok	0
pi-i9-13900k	gmp	truss5	208	fork_t2	2	0,2	33f968827a10dca7	2	4.25	4.243877	48	pdOPT	-1.3263567797250604e+02	13.4	ok	0
pi-i9-13900k	gmp	truss5	208	fork_t2	2	0,2	33f968827a10dca7	3	4.25	4.239866	48	pdOPT	-1.3263567797250604e+02	13.2	ok	0
pi-i9-13900k	gmp	arch0	174	up_t2	2	0,2	33f968827a10dca7	1	53.98	53.948987	53	pdOPT	5.6651727321592959e-01	36.6	ok	0
pi-i9-13900k	gmp	arch0	174	up_t2	2	0,2	33f968827a10dca7	2	53.97	53.944824	53	pdOPT	5.6651727321592959e-01	36.1	ok	0
pi-i9-13900k	gmp	arch0	174	up_t2	2	0,2	33f968827a10dca7	3	54.02	53.988612	53	pdOPT	5.6651727321592959e-01	36.2	ok	0
pi-i9-13900k	gmp	arch0	174	fork_t2	2	0,2	33f968827a10dca7	1	32.73	32.705046	53	pdOPT	5.6651727321592959e-01	34.7	ok	0
pi-i9-13900k	gmp	arch0	174	fork_t2	2	0,2	33f968827a10dca7	2	32.73	32.701303	53	pdOPT	5.6651727321592959e-01	34.3	ok	0
pi-i9-13900k	gmp	arch0	174	fork_t2	2	0,2	33f968827a10dca7	3	32.7	32.674250	53	pdOPT	5.6651727321592959e-01	34.8	ok	0
