machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
pi-i9-13900k	gmp	control1	21	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	0.12	0.122348	46	pdOPT	1.7784626717523405e+01	5.1	ok	0
pi-i9-13900k	gmp	control1	21	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	0.11	0.117585	46	pdOPT	1.7784626717523405e+01	5.0	ok	0
pi-i9-13900k	gmp	control1	21	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	0.11	0.115329	46	pdOPT	1.7784626717523405e+01	5.3	ok	0
pi-i9-13900k	gmp	control1	21	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	0.1	0.099642	46	pdOPT	1.7784626717523405e+01	5.3	ok	0
pi-i9-13900k	gmp	control1	21	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	0.1	0.106599	46	pdOPT	1.7784626717523405e+01	5.4	ok	0
pi-i9-13900k	gmp	control1	21	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	0.1	0.100259	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
pi-i9-13900k	gmp	theta1	104	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	1.06	1.059736	43	pdOPT	2.3000000000000000e+01	9.0	ok	0
pi-i9-13900k	gmp	theta1	104	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	1.06	1.059051	43	pdOPT	2.3000000000000000e+01	9.2	ok	0
pi-i9-13900k	gmp	theta1	104	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	1.06	1.061353	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	0.73	0.723401	43	pdOPT	2.3000000000000000e+01	11.8	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	0.73	0.724836	43	pdOPT	2.3000000000000000e+01	11.1	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	0.74	0.736191	43	pdOPT	2.3000000000000000e+01	11.4	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	5.83	5.816573	61	pFEAS	-4.4943550775891146e+01	17.5	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	5.83	5.818129	61	pFEAS	-4.4943550775891146e+01	17.5	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	5.84	5.825219	61	pFEAS	-4.4943550775891146e+01	17.5	ok	0
pi-i9-13900k	gmp	gpp100	101	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	3.77	3.757672	61	pFEAS	-4.4943550775891146e+01	17.2	partial	3
pi-i9-13900k	gmp	gpp100	101	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	3.77	3.758364	61	pFEAS	-4.4943550775891146e+01	16.8	partial	3
pi-i9-13900k	gmp	gpp100	101	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	3.8	3.785825	61	pFEAS	-4.4943550775891146e+01	16.8	partial	3
