machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
mac-m1max	gmp	8_min	19	fork_t4	4	-	e3e82d8dfcd9b7c3	1	0.57	0.557120	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0
mac-m1max	gmp	8_min	19	fork_t4	4	-	e3e82d8dfcd9b7c3	2	0.60	0.582692	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0
mac-m1max	gmp	8_min	19	fork_t4	4	-	e3e82d8dfcd9b7c3	3	0.56	0.544684	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0
mac-m1max	gmp	8_min	19	up_t4	4	-	e3e82d8dfcd9b7c3	1	0.99	0.972261	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0
mac-m1max	gmp	8_min	19	up_t4	4	-	e3e82d8dfcd9b7c3	2	0.98	0.968269	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0
mac-m1max	gmp	8_min	19	up_t4	4	-	e3e82d8dfcd9b7c3	3	0.94	0.923695	52	pdOPT	-5.3812637297885203e-01	8.7	ok	0
mac-m1max	gmp	10_min	74	fork_t4	4	-	e3e82d8dfcd9b7c3	1	11.78	11.553469	61	pdOPT	-4.7926054387208136e-01	11.8	ok	0
mac-m1max	gmp	10_min	74	fork_t4	4	-	e3e82d8dfcd9b7c3	2	12.50	12.273474	61	pdOPT	-4.7926054387208136e-01	11.7	ok	0
mac-m1max	gmp	10_min	74	fork_t4	4	-	e3e82d8dfcd9b7c3	3	12.51	12.286323	61	pdOPT	-4.7926054387208136e-01	11.8	ok	0
mac-m1max	gmp	10_min	74	up_t4	4	-	e3e82d8dfcd9b7c3	1	21.63	21.433778	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0
mac-m1max	gmp	10_min	74	up_t4	4	-	e3e82d8dfcd9b7c3	2	23.25	23.062792	61	pdOPT	-4.7926054387208136e-01	11.1	ok	0
mac-m1max	gmp	10_min	74	up_t4	4	-	e3e82d8dfcd9b7c3	3	21.19	21.002816	61	pdOPT	-4.7926054387208136e-01	11.0	ok	0
