machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
pi-i9-13900k	gmp-200bit	truss5	208	fork1	1	0	0abc064f632dd6ff	1	5.59	5.580468	48	-1.3263567797250604e+02	13.2	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork1	1	0	0abc064f632dd6ff	2	5.59	5.580990	48	-1.3263567797250604e+02	13.4	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork1	1	0	0abc064f632dd6ff	3	5.6	5.596562	48	-1.3263567797250604e+02	13.2	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	4.28	4.271512	48	-1.3263567797250604e+02	12.8	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	4.27	4.264462	48	-1.3263567797250604e+02	12.9	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	4.28	4.268082	48	-1.3263567797250604e+02	13.0	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	4.27	4.263269	48	-1.3263567797250604e+02	13.2	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	4.28	4.274822	48	-1.3263567797250604e+02	13.2	ok
pi-i9-13900k	gmp-200bit	truss5	208	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	4.27	4.257032	48	-1.3263567797250604e+02	13.1	ok
pi-i9-13900k	gmp-200bit	gpp100	101	pristine1	1	0	0abc064f632dd6ff	1	18.23	18.219461	61	-4.4943550775891146e+01	17.7	ok
pi-i9-13900k	gmp-200bit	gpp100	101	pristine1	1	0	0abc064f632dd6ff	2	18.22	18.207643	61	-4.4943550775891146e+01	17.7	ok
pi-i9-13900k	gmp-200bit	gpp100	101	pristine1	1	0	0abc064f632dd6ff	3	18.24	18.226614	61	-4.4943550775891146e+01	17.8	ok
pi-i9-13900k	gmp-200bit	gpp100	101	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	5.82	5.802933	61	-4.4943550775891146e+01	17.5	ok
pi-i9-13900k	gmp-200bit	gpp100	101	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	5.82	5.806179	61	-4.4943550775891146e+01	17.4	ok
pi-i9-13900k	gmp-200bit	gpp100	101	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	5.82	5.802344	61	-4.4943550775891146e+01	17.4	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork1	1	0	0abc064f632dd6ff	1	18.22	18.209069	61	-4.4943550775891146e+01	17.6	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork1	1	0	0abc064f632dd6ff	2	18.22	18.210678	61	-4.4943550775891146e+01	17.6	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork1	1	0	0abc064f632dd6ff	3	18.21	18.198288	61	-4.4943550775891146e+01	17.7	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	6.36	6.346078	61	-4.4943550775891146e+01	17.5	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	6.34	6.331103	61	-4.4943550775891146e+01	17.3	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	6.34	6.327407	61	-4.4943550775891146e+01	17.4	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	5.7	5.685335	61	-4.4943550775891146e+01	17.3	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	5.7	5.686316	61	-4.4943550775891146e+01	17.3	ok
pi-i9-13900k	gmp-200bit	gpp100	101	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	5.7	5.688426	61	-4.4943550775891146e+01	17.5	ok
pi-i9-13900k	gmp-200bit	arch0	174	pristine1	1	0	0abc064f632dd6ff	1	67.22	67.197571	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	pristine1	1	0	0abc064f632dd6ff	2	67.28	67.251541	53	5.6651727321592959e-01	36.3	ok
pi-i9-13900k	gmp-200bit	arch0	174	pristine1	1	0	0abc064f632dd6ff	3	67.22	67.197014	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	42.42	42.384726	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	42.56	42.533728	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	42.5	42.472242	53	5.6651727321592959e-01	36.3	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork1	1	0	0abc064f632dd6ff	1	62.22	62.192838	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork1	1	0	0abc064f632dd6ff	2	62.2	62.172318	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork1	1	0	0abc064f632dd6ff	3	62.19	62.161464	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	19.31	19.276477	53	5.6651727321592959e-01	36.1	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	19.33	19.297572	53	5.6651727321592959e-01	36.2	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	19.33	19.299266	53	5.6651727321592959e-01	36.1	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	16.53	16.502457	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	16.53	16.494124	53	5.6651727321592959e-01	36.4	ok
pi-i9-13900k	gmp-200bit	arch0	174	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	16.51	16.478214	53	5.6651727321592959e-01	36.3	ok
