machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
mac-m1max	gmp-200bit	gpp100	101	pristine1	1	-	0abc064f632dd6ff	2	34.25	34.194759	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	pristine1	1	-	0abc064f632dd6ff	3	33.92	33.867513	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	pristine8	8	-	0abc064f632dd6ff	1	13.45	13.400621	61	-4.4943550775891146e+01	14.4	ok
mac-m1max	gmp-200bit	gpp100	101	pristine8	8	-	0abc064f632dd6ff	2	13.30	13.253554	61	-4.4943550775891146e+01	14.4	ok
mac-m1max	gmp-200bit	gpp100	101	pristine8	8	-	0abc064f632dd6ff	3	13.29	13.241347	61	-4.4943550775891146e+01	14.4	ok
mac-m1max	gmp-200bit	gpp100	101	fork1	1	-	0abc064f632dd6ff	1	33.98	33.929515	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	fork1	1	-	0abc064f632dd6ff	2	33.92	33.867528	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	fork1	1	-	0abc064f632dd6ff	3	34.05	33.995851	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	fork8	8	-	0abc064f632dd6ff	1	13.16	13.108390	61	-4.4943550775891146e+01	14.5	ok
mac-m1max	gmp-200bit	gpp100	101	fork8	8	-	0abc064f632dd6ff	2	13.29	13.238390	61	-4.4943550775891146e+01	14.5	ok
mac-m1max	gmp-200bit	gpp100	101	fork8	8	-	0abc064f632dd6ff	3	13.17	13.121012	61	-4.4943550775891146e+01	14.5	ok
mac-m1max	gmp-200bit	arch0	174	pristine1	1	-	0abc064f632dd6ff	1	123.17	123.092496	53	5.6651727321592959e-01	29.5	ok
mac-m1max	gmp-200bit	arch0	174	pristine1	1	-	0abc064f632dd6ff	2	123.61	123.531450	53	5.6651727321592959e-01	29.5	ok
mac-m1max	gmp-200bit	arch0	174	pristine1	1	-	0abc064f632dd6ff	3	124.81	124.738273	53	5.6651727321592959e-01	29.5	ok
mac-m1max	gmp-200bit	arch0	174	pristine8	8	-	0abc064f632dd6ff	1	88.55	88.474123	53	5.6651727321592959e-01	29.6	ok
mac-m1max	gmp-200bit	arch0	174	pristine8	8	-	0abc064f632dd6ff	2	87.60	87.522390	53	5.6651727321592959e-01	29.6	ok
mac-m1max	gmp-200bit	arch0	174	pristine8	8	-	0abc064f632dd6ff	3	87.82	87.744484	53	5.6651727321592959e-01	29.6	ok
mac-m1max	gmp-200bit	arch0	174	fork1	1	-	0abc064f632dd6ff	1	118.45	118.381448	53	5.6651727321592959e-01	29.5	ok
mac-m1max	gmp-200bit	arch0	174	fork1	1	-	0abc064f632dd6ff	2	119.34	119.269899	53	5.6651727321592959e-01	29.6	ok
mac-m1max	gmp-200bit	arch0	174	fork1	1	-	0abc064f632dd6ff	3	117.89	117.820923	53	5.6651727321592959e-01	29.5	ok
mac-m1max	gmp-200bit	arch0	174	fork8	8	-	0abc064f632dd6ff	1	39.43	39.358848	53	5.6651727321592959e-01	29.6	ok
mac-m1max	gmp-200bit	arch0	174	fork8	8	-	0abc064f632dd6ff	2	39.35	39.269117	53	5.6651727321592959e-01	29.7	ok
mac-m1max	gmp-200bit	arch0	174	fork8	8	-	0abc064f632dd6ff	3	39.70	39.624442	53	5.6651727321592959e-01	29.7	ok
