machine	backend	problem	m	config	threads	cpuset	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
thanos-epyc7232p	gmp-200bit	truss5	208	hardened4	4	0-3	2	11.87	11.830564	48	-1.3263567797250604e+02	12.6	ok
thanos-epyc7232p	gmp-200bit	truss5	208	hardened4	4	0-3	3	11.71	11.670481	48	-1.3263567797250604e+02	12.8	ok
thanos-epyc7232p	gmp-200bit	truss5	208	hardened8	8	0-7	1	11.17	11.129720	48	-1.3263567797250604e+02	13.0	ok
thanos-epyc7232p	gmp-200bit	truss5	208	hardened8	8	0-7	2	11.15	11.115753	48	-1.3263567797250604e+02	13.2	ok
thanos-epyc7232p	gmp-200bit	truss5	208	hardened8	8	0-7	3	11.15	11.115834	48	-1.3263567797250604e+02	13.2	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	pristine1	1	0	1	44.76	44.715266	61	-4.4943550775891146e+01	17.4	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	pristine1	1	0	2	44.79	44.736274	61	-4.4943550775891146e+01	17.6	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	pristine1	1	0	3	44.50	44.445310	61	-4.4943550775891146e+01	17.6	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	pristine8	8	0-7	1	21.23	21.173681	61	-4.4943550775891146e+01	17.5	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	pristine8	8	0-7	2	21.24	21.182736	61	-4.4943550775891146e+01	17.6	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	pristine8	8	0-7	3	21.34	21.286511	61	-4.4943550775891146e+01	17.6	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened1	1	0	1	44.02	43.971977	61	-4.4943550775891146e+01	17.5	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened1	1	0	2	44.41	44.357782	61	-4.4943550775891146e+01	17.6	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened1	1	0	3	44.08	44.033287	61	-4.4943550775891146e+01	17.5	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened4	4	0-3	1	27.80	27.741153	61	-4.4943550775891146e+01	17.5	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened4	4	0-3	2	27.65	27.590539	61	-4.4943550775891146e+01	17.5	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened4	4	0-3	3	27.90	27.843770	61	-4.4943550775891146e+01	17.6	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened8	8	0-7	1	20.87	20.814472	61	-4.4943550775891146e+01	17.6	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened8	8	0-7	2	20.82	20.759968	61	-4.4943550775891146e+01	17.5	ok
thanos-epyc7232p	gmp-200bit	gpp100	101	hardened8	8	0-7	3	21.02	20.960278	61	-4.4943550775891146e+01	17.3	ok
thanos-epyc7232p	gmp-200bit	arch0	174	pristine1	1	0	1	160.20	160.105295	53	5.6651727321592959e-01	35.8	ok
thanos-epyc7232p	gmp-200bit	arch0	174	pristine1	1	0	2	160.22	160.130548	53	5.6651727321592959e-01	35.8	ok
thanos-epyc7232p	gmp-200bit	arch0	174	pristine1	1	0	3	159.39	159.289172	53	5.6651727321592959e-01	36.6	ok
thanos-epyc7232p	gmp-200bit	arch0	174	pristine8	8	0-7	1	116.00	115.909764	53	5.6651727321592959e-01	36.2	ok
thanos-epyc7232p	gmp-200bit	arch0	174	pristine8	8	0-7	2	115.31	115.208849	53	5.6651727321592959e-01	36.1	ok
thanos-epyc7232p	gmp-200bit	arch0	174	pristine8	8	0-7	3	117.03	116.925323	53	5.6651727321592959e-01	36.3	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened1	1	0	1	148.79	148.694891	53	5.6651727321592959e-01	36.5	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened1	1	0	2	149.99	149.893615	53	5.6651727321592959e-01	36.3	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened1	1	0	3	149.19	149.095203	53	5.6651727321592959e-01	36.0	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened4	4	0-3	1	82.30	82.201119	53	5.6651727321592959e-01	36.4	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened4	4	0-3	2	81.36	81.259281	53	5.6651727321592959e-01	36.5	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened4	4	0-3	3	82.58	82.484429	53	5.6651727321592959e-01	36.5	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened8	8	0-7	1	59.62	59.518619	53	5.6651727321592959e-01	36.2	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened8	8	0-7	2	59.34	59.232718	53	5.6651727321592959e-01	36.2	ok
thanos-epyc7232p	gmp-200bit	arch0	174	hardened8	8	0-7	3	60.14	60.035374	53	5.6651727321592959e-01	36.0	ok
