machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
symmetry-xeon6148	gmp	control1	21	fork_t4	4	0,1,2,3	33f968827a10dca7	1	0.24	0.224031	46	pdOPT	1.7784626717523405e+01	5.9	ok	0
symmetry-xeon6148	gmp	control1	21	fork_t4	4	0,1,2,3	33f968827a10dca7	2	0.24	0.228200	46	pdOPT	1.7784626717523405e+01	5.9	ok	0
symmetry-xeon6148	gmp	control1	21	fork_t4	4	0,1,2,3	33f968827a10dca7	3	0.25	0.231261	46	pdOPT	1.7784626717523405e+01	5.9	ok	0
symmetry-xeon6148	gmp	control1	21	up_t4	4	0,1,2,3	33f968827a10dca7	1	0.22	0.205185	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
symmetry-xeon6148	gmp	control1	21	up_t4	4	0,1,2,3	33f968827a10dca7	2	0.22	0.208137	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
symmetry-xeon6148	gmp	control1	21	up_t4	4	0,1,2,3	33f968827a10dca7	3	0.22	0.207801	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t4	4	0,1,2,3	33f968827a10dca7	1	1.93	1.896388	43	pdOPT	2.3000000000000000e+01	10.6	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t4	4	0,1,2,3	33f968827a10dca7	2	1.94	1.903332	43	pdOPT	2.3000000000000000e+01	10.6	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t4	4	0,1,2,3	33f968827a10dca7	3	1.93	1.898193	43	pdOPT	2.3000000000000000e+01	10.6	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t4	4	0,1,2,3	33f968827a10dca7	1	2.95	2.919355	43	pdOPT	2.3000000000000000e+01	9.2	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t4	4	0,1,2,3	33f968827a10dca7	2	2.95	2.923132	43	pdOPT	2.3000000000000000e+01	9.2	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t4	4	0,1,2,3	33f968827a10dca7	3	2.95	2.912237	43	pdOPT	2.3000000000000000e+01	9.2	ok	0
symmetry-xeon6148	gmp	gpp100	101	fork_t4	4	0,1,2,3	33f968827a10dca7	1	14.42	14.355383	61	pFEAS	-4.4943550775891146e+01	17.4	partial	3
symmetry-xeon6148	gmp	gpp100	101	fork_t4	4	0,1,2,3	33f968827a10dca7	2	14.41	14.352263	61	pFEAS	-4.4943550775891146e+01	17.4	partial	3
symmetry-xeon6148	gmp	gpp100	101	fork_t4	4	0,1,2,3	33f968827a10dca7	3	14.39	14.332266	61	pFEAS	-4.4943550775891146e+01	17.4	partial	3
symmetry-xeon6148	gmp	gpp100	101	up_t4	4	0,1,2,3	33f968827a10dca7	1	19.37	19.300922	61	pFEAS	-4.4943550775891146e+01	18.0	ok	0
symmetry-xeon6148	gmp	gpp100	101	up_t4	4	0,1,2,3	33f968827a10dca7	2	19.27	19.201095	61	pFEAS	-4.4943550775891146e+01	18.0	ok	0
symmetry-xeon6148	gmp	gpp100	101	up_t4	4	0,1,2,3	33f968827a10dca7	3	19.26	19.197711	61	pFEAS	-4.4943550775891146e+01	18.0	ok	0
symmetry-xeon6148	gmp	truss5	208	fork_t4	4	0,1,2,3	33f968827a10dca7	1	9.2	9.150101	48	pdOPT	-1.3263567797250604e+02	13.7	ok	0
symmetry-xeon6148	gmp	truss5	208	fork_t4	4	0,1,2,3	33f968827a10dca7	2	9.2	9.151533	48	pdOPT	-1.3263567797250604e+02	13.7	ok	0
symmetry-xeon6148	gmp	truss5	208	fork_t4	4	0,1,2,3	33f968827a10dca7	3	9.25	9.175498	48	pdOPT	-1.3263567797250604e+02	13.7	ok	0
symmetry-xeon6148	gmp	truss5	208	up_t4	4	0,1,2,3	33f968827a10dca7	1	12.45	12.394817	48	pdOPT	-1.3263567797250604e+02	13.7	ok	0
symmetry-xeon6148	gmp	truss5	208	up_t4	4	0,1,2,3	33f968827a10dca7	2	12.51	12.462166	48	pdOPT	-1.3263567797250604e+02	13.7	ok	0
symmetry-xeon6148	gmp	truss5	208	up_t4	4	0,1,2,3	33f968827a10dca7	3	12.46	12.411628	48	pdOPT	-1.3263567797250604e+02	13.7	ok	0
symmetry-xeon6148	gmp	arch0	174	fork_t4	4	0,1,2,3	33f968827a10dca7	1	44.56	44.466352	53	pdOPT	5.6651727321592959e-01	35.0	ok	0
symmetry-xeon6148	gmp	arch0	174	fork_t4	4	0,1,2,3	33f968827a10dca7	2	44.67	44.568109	53	pdOPT	5.6651727321592959e-01	35.0	ok	0
symmetry-xeon6148	gmp	arch0	174	fork_t4	4	0,1,2,3	33f968827a10dca7	3	44.55	44.442801	53	pdOPT	5.6651727321592959e-01	35.0	ok	0
symmetry-xeon6148	gmp	arch0	174	up_t4	4	0,1,2,3	33f968827a10dca7	1	105.49	105.389211	53	pdOPT	5.6651727321592959e-01	36.8	ok	0
symmetry-xeon6148	gmp	arch0	174	up_t4	4	0,1,2,3	33f968827a10dca7	2	105.56	105.457986	53	pdOPT	5.6651727321592959e-01	36.8	ok	0
symmetry-xeon6148	gmp	arch0	174	up_t4	4	0,1,2,3	33f968827a10dca7	3	105.54	105.439416	53	pdOPT	5.6651727321592959e-01	36.8	ok	0
