machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.8	0.780985	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.81	0.782591	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.8	0.782694	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.75	0.731257	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.75	0.730834	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.75	0.731964	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
symmetry-xeon6148	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	10.57	10.394039	61	pdOPT	-4.7926054387208136e-01	17.0	ok	0
symmetry-xeon6148	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	10.56	10.385775	61	pdOPT	-4.7926054387208136e-01	17.0	ok	0
symmetry-xeon6148	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	10.58	10.401642	61	pdOPT	-4.7926054387208136e-01	16.9	ok	0
symmetry-xeon6148	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	21.2	21.066903	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0
symmetry-xeon6148	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	21.23	21.096922	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0
symmetry-xeon6148	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	21.18	21.048703	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0
