machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
symmetry-xeon6148	gmp	control1	21	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	1	0.24	0.221912	46	pdOPT	1.7784626717523405e+01	5.8	ok	0
symmetry-xeon6148	gmp	control1	21	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	2	0.24	0.222525	46	pdOPT	1.7784626717523405e+01	5.8	ok	0
symmetry-xeon6148	gmp	control1	21	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	3	0.24	0.221177	46	pdOPT	1.7784626717523405e+01	5.8	ok	0
symmetry-xeon6148	gmp	control1	21	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	1	0.27	0.255597	46	pdOPT	1.7784626717523405e+01	6.1	ok	0
symmetry-xeon6148	gmp	control1	21	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	2	0.27	0.250205	46	pdOPT	1.7784626717523405e+01	6.1	ok	0
symmetry-xeon6148	gmp	control1	21	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	3	0.26	0.247082	46	pdOPT	1.7784626717523405e+01	6.1	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	1	1.82	1.788936	43	pdOPT	2.3000000000000000e+01	21.5	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	2	1.82	1.783376	43	pdOPT	2.3000000000000000e+01	20.3	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	3	1.82	1.787155	43	pdOPT	2.3000000000000000e+01	21.1	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	1	2.48	2.450598	43	pdOPT	2.3000000000000000e+01	9.6	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	2	2.48	2.446163	43	pdOPT	2.3000000000000000e+01	9.6	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	3	2.46	2.424294	43	pdOPT	2.3000000000000000e+01	9.6	ok	0
symmetry-xeon6148	gmp	gpp100	101	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	1	7.67	7.601197	61	pFEAS	-4.4943550775891146e+01	17.8	partial	3
symmetry-xeon6148	gmp	gpp100	101	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	33f968827a10dca7	2	7.8	7.739371	61	pFEAS	-4.4943550775891146e+01	17.6	partial	3
