machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
expanse-epyc7742	gmp	control1	21	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	0.19	0.192847	46	pdOPT	1.7784626717523405e+01	4.4	ok	0
expanse-epyc7742	gmp	control1	21	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	0.19	0.188916	46	pdOPT	1.7784626717523405e+01	4.4	ok	0
expanse-epyc7742	gmp	control1	21	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	0.19	0.188037	46	pdOPT	1.7784626717523405e+01	4.4	ok	0
expanse-epyc7742	gmp	control1	21	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	0.22	0.215974	46	pdOPT	1.7784626717523405e+01	4.1	ok	0
expanse-epyc7742	gmp	control1	21	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	0.22	0.218632	46	pdOPT	1.7784626717523405e+01	4.1	ok	0
expanse-epyc7742	gmp	control1	21	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	0.22	0.218042	46	pdOPT	1.7784626717523405e+01	4.1	ok	0
expanse-epyc7742	gmp	theta1	104	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	2.21	2.204357	43	pdOPT	2.3000000000000000e+01	8.0	ok	0
expanse-epyc7742	gmp	theta1	104	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	2.22	2.210814	43	pdOPT	2.3000000000000000e+01	8.0	ok	0
expanse-epyc7742	gmp	theta1	104	up_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	2.21	2.200755	43	pdOPT	2.3000000000000000e+01	8.0	ok	0
expanse-epyc7742	gmp	theta1	104	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	1	1.58	1.567410	43	pdOPT	2.3000000000000000e+01	15.2	ok	0
expanse-epyc7742	gmp	theta1	104	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	2	1.58	1.567650	43	pdOPT	2.3000000000000000e+01	14.3	ok	0
expanse-epyc7742	gmp	theta1	104	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	33f968827a10dca7	3	1.57	1.560761	43	pdOPT	2.3000000000000000e+01	15.1	ok	0
